alphas,e1,e2
0.00000,-0.00000,0.00000
0.00601,-0.00601,-0.00601
0.01201,-0.01201,-0.01201
0.01802,-0.01802,-0.01802
0.02402,-0.02402,-0.02403
0.03003,-0.03003,-0.03004
0.03604,-0.03604,-0.03605
0.04204,-0.04204,-0.04206
0.04805,-0.04805,-0.04808
0.05405,-0.05405,-0.05409
0.06006,-0.06006,-0.06011
0.06607,-0.06607,-0.06612
0.07207,-0.07207,-0.07214
0.07808,-0.07808,-0.07815
0.08408,-0.08408,-0.08417
0.09009,-0.09009,-0.09019
0.09610,-0.09610,-0.09621
0.10210,-0.10210,-0.10223
0.10811,-0.10811,-0.10826
0.11411,-0.11411,-0.11428
0.12012,-0.12012,-0.12030
0.12613,-0.12613,-0.12633
0.13213,-0.13213,-0.13235
0.13814,-0.13814,-0.13838
0.14414,-0.14414,-0.14441
0.15015,-0.15015,-0.15043
0.15616,-0.15616,-0.15646
0.16216,-0.16216,-0.16249
0.16817,-0.16817,-0.16852
0.17417,-0.17417,-0.17456
0.18018,-0.18018,-0.18059
0.18619,-0.18619,-0.18662
0.19219,-0.19219,-0.19266
0.19820,-0.19820,-0.19869
0.20420,-0.20420,-0.20473
0.21021,-0.21021,-0.21077
0.21622,-0.21622,-0.21681
0.22222,-0.22222,-0.22284
0.22823,-0.22823,-0.22888
0.23423,-0.23423,-0.23493
0.24024,-0.24024,-0.24097
0.24625,-0.24625,-0.24701
0.25225,-0.25225,-0.25305
0.25826,-0.25826,-0.25910
0.26426,-0.26426,-0.26514
0.27027,-0.27027,-0.27119
0.27628,-0.27628,-0.27724
0.28228,-0.28228,-0.28329
0.28829,-0.28829,-0.28934
0.29429,-0.29429,-0.29539
0.30030,-0.30030,-0.30144
0.30631,-0.30631,-0.30749
0.31231,-0.31231,-0.31354
0.31832,-0.31832,-0.31959
0.32432,-0.32432,-0.32565
0.33033,-0.33033,-0.33170
0.33634,-0.33634,-0.33776
0.34234,-0.34234,-0.34382
0.34835,-0.34835,-0.34988
0.35435,-0.35435,-0.35594
0.36036,-0.36036,-0.36200
0.36637,-0.36637,-0.36806
0.37237,-0.37237,-0.37412
0.37838,-0.37838,-0.38018
0.38438,-0.38438,-0.38625
0.39039,-0.39039,-0.39231
0.39640,-0.39640,-0.39838
0.40240,-0.40240,-0.40444
0.40841,-0.40841,-0.41051
0.41441,-0.41441,-0.41658
0.42042,-0.42042,-0.42265
0.42643,-0.42643,-0.42872
0.43243,-0.43243,-0.43479
0.43844,-0.43844,-0.44086
0.44444,-0.44444,-0.44693
0.45045,-0.45045,-0.45301
0.45646,-0.45646,-0.45908
0.46246,-0.46246,-0.46516
0.46847,-0.46847,-0.47123
0.47447,-0.47447,-0.47731
0.48048,-0.48048,-0.48339
0.48649,-0.48649,-0.48947
0.49249,-0.49249,-0.49555
0.49850,-0.49850,-0.50163
0.50450,-0.50450,-0.50771
0.51051,-0.51051,-0.51379
0.51652,-0.51652,-0.51988
0.52252,-0.52252,-0.52596
0.52853,-0.52853,-0.53205
0.53453,-0.53453,-0.53813
0.54054,-0.54054,-0.54422
0.54655,-0.54655,-0.55031
0.55255,-0.55255,-0.55640
0.55856,-0.55856,-0.56249
0.56456,-0.56456,-0.56858
0.57057,-0.57057,-0.57467
0.57658,-0.57658,-0.58076
0.58258,-0.58258,-0.58686
0.58859,-0.58859,-0.59295
0.59459,-0.59459,-0.59905
0.60060,-0.60060,-0.60514
0.60661,-0.60661,-0.61124
0.61261,-0.61261,-0.61734
0.61862,-0.61862,-0.62344
0.62462,-0.62462,-0.62954
0.63063,-0.63063,-0.63564
0.63664,-0.63664,-0.64174
0.64264,-0.64264,-0.64785
0.64865,-0.64865,-0.65395
0.65465,-0.65465,-0.66005
0.66066,-0.66066,-0.66616
0.66667,-0.66667,-0.67227
0.67267,-0.67267,-0.67837
0.67868,-0.67868,-0.68448
0.68468,-0.68468,-0.69059
0.69069,-0.69069,-0.69670
0.69670,-0.69670,-0.70281
0.70270,-0.70270,-0.70892
0.70871,-0.70871,-0.71504
0.71471,-0.71471,-0.72115
0.72072,-0.72072,-0.72726
0.72673,-0.72673,-0.73338
0.73273,-0.73273,-0.73950
0.73874,-0.73874,-0.74561
0.74474,-0.74474,-0.75173
0.75075,-0.75075,-0.75785
0.75676,-0.75676,-0.76397
0.76276,-0.76276,-0.77009
0.76877,-0.76877,-0.77621
0.77477,-0.77477,-0.78234
0.78078,-0.78078,-0.78846
0.78679,-0.78679,-0.79459
0.79279,-0.79279,-0.80071
0.79880,-0.79880,-0.80684
0.80480,-0.80480,-0.81296
0.81081,-0.81081,-0.81909
0.81682,-0.81682,-0.82522
0.82282,-0.82282,-0.83135
0.82883,-0.82883,-0.83748
0.83483,-0.83483,-0.84361
0.84084,-0.84084,-0.84975
0.84685,-0.84685,-0.85588
0.85285,-0.85285,-0.86202
0.85886,-0.85886,-0.86815
0.86486,-0.86486,-0.87429
0.87087,-0.87087,-0.88043
0.87688,-0.87688,-0.88656
0.88288,-0.88288,-0.89270
0.88889,-0.88889,-0.89884
0.89489,-0.89489,-0.90498
0.90090,-0.90090,-0.91113
0.90691,-0.90691,-0.91727
0.91291,-0.91291,-0.92341
0.91892,-0.91892,-0.92956
0.92492,-0.92492,-0.93570
0.93093,-0.93093,-0.94185
0.93694,-0.93694,-0.94800
0.94294,-0.94294,-0.95414
0.94895,-0.94895,-0.96029
0.95495,-0.95495,-0.96644
0.96096,-0.96096,-0.97259
0.96697,-0.96697,-0.97875
0.97297,-0.97297,-0.98490
0.97898,-0.97898,-0.99105
0.98498,-0.98498,-0.99721
0.99099,-0.99099,-1.00336
0.99700,-0.99700,-1.00952
1.00300,-1.00300,-1.01568
1.00901,-1.00901,-1.02183
1.01502,-1.01502,-1.02799
1.02102,-1.02102,-1.03415
1.02703,-1.02703,-1.04031
1.03303,-1.03303,-1.04648
1.03904,-1.03904,-1.05264
1.04505,-1.04505,-1.05880
1.05105,-1.05105,-1.06497
1.05706,-1.05706,-1.07113
1.06306,-1.06306,-1.07730
1.06907,-1.06907,-1.08347
1.07508,-1.07508,-1.08964
1.08108,-1.08108,-1.09580
1.08709,-1.08709,-1.10197
1.09309,-1.09309,-1.10815
1.09910,-1.09910,-1.11432
1.10511,-1.10511,-1.12049
1.11111,-1.11111,-1.12666
1.11712,-1.11712,-1.13284
1.12312,-1.12312,-1.13901
1.12913,-1.12913,-1.14519
1.13514,-1.13514,-1.15137
1.14114,-1.14114,-1.15755
1.14715,-1.14715,-1.16373
1.15315,-1.15315,-1.16991
1.15916,-1.15916,-1.17609
1.16517,-1.16517,-1.18227
1.17117,-1.17117,-1.18845
1.17718,-1.17718,-1.19463
1.18318,-1.18318,-1.20082
1.18919,-1.18919,-1.20700
1.19520,-1.19520,-1.21319
1.20120,-1.20120,-1.21938
1.20721,-1.20721,-1.22557
1.21321,-1.21321,-1.23176
1.21922,-1.21922,-1.23795
1.22523,-1.22523,-1.24414
1.23123,-1.23123,-1.25033
1.23724,-1.23724,-1.25652
1.24324,-1.24324,-1.26272
1.24925,-1.24925,-1.26891
1.25526,-1.25526,-1.27511
1.26126,-1.26126,-1.28130
1.26727,-1.26727,-1.28750
1.27327,-1.27327,-1.29370
1.27928,-1.27928,-1.29990
1.28529,-1.28529,-1.30610
1.29129,-1.29129,-1.31230
1.29730,-1.29730,-1.31850
1.30330,-1.30330,-1.32470
1.30931,-1.30931,-1.33091
1.31532,-1.31532,-1.33711
1.32132,-1.32132,-1.34332
1.32733,-1.32733,-1.34952
1.33333,-1.33333,-1.35573
1.33934,-1.33934,-1.36194
1.34535,-1.34535,-1.36815
1.35135,-1.35135,-1.37436
1.35736,-1.35736,-1.38057
1.36336,-1.36336,-1.38678
1.36937,-1.36937,-1.39299
1.37538,-1.37538,-1.39921
1.38138,-1.38138,-1.40542
1.38739,-1.38739,-1.41164
1.39339,-1.39339,-1.41785
1.39940,-1.39940,-1.42407
1.40541,-1.40541,-1.43029
1.41141,-1.41141,-1.43651
1.41742,-1.41742,-1.44273
1.42342,-1.42342,-1.44895
1.42943,-1.42943,-1.45517
1.43544,-1.43544,-1.46139
1.44144,-1.44144,-1.46762
1.44745,-1.44745,-1.47384
1.45345,-1.45345,-1.48007
1.45946,-1.45946,-1.48629
1.46547,-1.46547,-1.49252
1.47147,-1.47147,-1.49875
1.47748,-1.47748,-1.50498
1.48348,-1.48348,-1.51121
1.48949,-1.48949,-1.51744
1.49550,-1.49550,-1.52367
1.50150,-1.50150,-1.52990
1.50751,-1.50751,-1.53614
1.51351,-1.51351,-1.54237
1.51952,-1.51952,-1.54861
1.52553,-1.52553,-1.55484
1.53153,-1.53153,-1.56108
1.53754,-1.53754,-1.56732
1.54354,-1.54354,-1.57356
1.54955,-1.54955,-1.57980
1.55556,-1.55556,-1.58604
1.56156,-1.56156,-1.59228
1.56757,-1.56757,-1.59852
1.57357,-1.57357,-1.60477
1.57958,-1.57958,-1.61101
1.58559,-1.58559,-1.61726
1.59159,-1.59159,-1.62350
1.59760,-1.59760,-1.62975
1.60360,-1.60360,-1.63600
1.60961,-1.60961,-1.64225
1.61562,-1.61562,-1.64850
1.62162,-1.62162,-1.65475
1.62763,-1.62763,-1.66100
1.63363,-1.63363,-1.66725
1.63964,-1.63964,-1.67351
1.64565,-1.64565,-1.67976
1.65165,-1.65165,-1.68602
1.65766,-1.65766,-1.69227
1.66366,-1.66366,-1.69853
1.66967,-1.66967,-1.70479
1.67568,-1.67568,-1.71105
1.68168,-1.68168,-1.71731
1.68769,-1.68769,-1.72357
1.69369,-1.69369,-1.72983
1.69970,-1.69970,-1.73609
1.70571,-1.70571,-1.74236
1.71171,-1.71171,-1.74862
1.71772,-1.71772,-1.75489
1.72372,-1.72372,-1.76115
1.72973,-1.72973,-1.76742
1.73574,-1.73574,-1.77369
1.74174,-1.74174,-1.77996
1.74775,-1.74775,-1.78623
1.75375,-1.75375,-1.79250
1.75976,-1.75976,-1.79877
1.76577,-1.76577,-1.80504
1.77177,-1.77177,-1.81132
1.77778,-1.77778,-1.81759
1.78378,-1.78378,-1.82387
1.78979,-1.78979,-1.83014
1.79580,-1.79580,-1.83642
1.80180,-1.80180,-1.84270
1.80781,-1.80781,-1.84898
1.81381,-1.81381,-1.85526
1.81982,-1.81982,-1.86154
1.82583,-1.82583,-1.86782
1.83183,-1.83183,-1.87411
1.83784,-1.83784,-1.88039
1.84384,-1.84384,-1.88667
1.84985,-1.84985,-1.89296
1.85586,-1.85586,-1.89925
1.86186,-1.86186,-1.90553
1.86787,-1.86787,-1.91182
1.87387,-1.87387,-1.91811
1.87988,-1.87988,-1.92440
1.88589,-1.88589,-1.93069
1.89189,-1.89189,-1.93698
1.89790,-1.89790,-1.94328
1.90390,-1.90390,-1.94957
1.90991,-1.90991,-1.95586
1.91592,-1.91592,-1.96216
1.92192,-1.92192,-1.96846
1.92793,-1.92793,-1.97475
1.93393,-1.93393,-1.98105
1.93994,-1.93994,-1.98735
1.94595,-1.94595,-1.99365
1.95195,-1.95195,-1.99995
1.95796,-1.95796,-2.00625
1.96396,-1.96396,-2.01256
1.96997,-1.96997,-2.01886
1.97598,-1.97598,-2.02516
1.98198,-1.98198,-2.03147
1.98799,-1.98799,-2.03778
1.99399,-1.99399,-2.04408
2.00000,-2.00000,-2.05039
2.00601,-2.00601,-2.05670
2.01201,-2.01201,-2.06301
2.01802,-2.01802,-2.06932
2.02402,-2.02402,-2.07563
2.03003,-2.03003,-2.08195
2.03604,-2.03604,-2.08826
2.04204,-2.04204,-2.09457
2.04805,-2.04805,-2.10089
2.05405,-2.05405,-2.10721
2.06006,-2.06006,-2.11352
2.06607,-2.06607,-2.11984
2.07207,-2.07207,-2.12616
2.07808,-2.07808,-2.13248
2.08408,-2.08408,-2.13880
2.09009,-2.09009,-2.14512
2.09610,-2.09610,-2.15145
2.10210,-2.10210,-2.15777
2.10811,-2.10811,-2.16409
2.11411,-2.11411,-2.17042
2.12012,-2.12012,-2.17675
2.12613,-2.12613,-2.18307
2.13213,-2.13213,-2.18940
2.13814,-2.13814,-2.19573
2.14414,-2.14414,-2.20206
