order,density
0.00000,0.61129
5.00000,0.07521
10.00000,0.04322
15.00000,0.03329
20.00000,0.02791
25.00000,0.02388
30.00000,0.02069
35.00000,0.01847
40.00000,0.01624
45.00000,0.01472
50.00000,0.01334
55.00000,0.01224
60.00000,0.01138
65.00000,0.01011
70.00000,0.00891
75.00000,0.00800
80.00000,0.00702
85.00000,0.00604
90.00000,0.00480
95.00000,0.00416
100.00000,0.00362
105.00000,0.00327
110.00000,0.00284
115.00000,0.00245
120.00000,0.00212
125.00000,0.00177
130.00000,0.00157
135.00000,0.00142
140.00000,0.00118
145.00000,0.00103
150.00000,0.00093
155.00000,0.00092
160.00000,0.00094
165.00000,0.00079
170.00000,0.00065
175.00000,0.00051
180.00000,0.00043
185.00000,0.00037
190.00000,0.00032
195.00000,0.00027
200.00000,0.00025
205.00000,0.00023
210.00000,0.00019
215.00000,0.00023
220.00000,0.00020
225.00000,0.00012
230.00000,0.00010
235.00000,0.00008
240.00000,0.00004
245.00000,0.00002
250.00000,0.00004
255.00000,0.00004
260.00000,0.00003
265.00000,0.00002
270.00000,0.00002
275.00000,0.00001
280.00000,0.00002
285.00000,0.00002
290.00000,0.00002
295.00000,0.00001
300.00000,0.00000
305.00000,0.00000
