taus,g,fit
0.01000,0.98920,0.59292
0.03000,0.96976,0.59193
0.05000,0.95236,0.59094
0.07000,0.93633,0.58996
0.09000,0.92138,0.58898
0.11000,0.90735,0.58800
0.13000,0.89412,0.58702
0.15000,0.88160,0.58604
0.17000,0.86972,0.58506
0.19000,0.85842,0.58409
0.21000,0.84765,0.58311
0.23000,0.83736,0.58214
0.25000,0.82753,0.58117
0.27000,0.81811,0.58020
0.29000,0.80908,0.57924
0.31000,0.80041,0.57827
0.33000,0.79208,0.57731
0.35000,0.78407,0.57634
0.37000,0.77635,0.57538
0.39000,0.76892,0.57443
0.41000,0.76175,0.57347
0.43000,0.75484,0.57251
0.45000,0.74816,0.57156
0.47000,0.74170,0.57061
0.49000,0.73546,0.56965
0.51000,0.72942,0.56871
0.53000,0.72357,0.56776
0.55000,0.71790,0.56681
0.57000,0.71241,0.56587
0.59000,0.70708,0.56492
0.61000,0.70191,0.56398
0.63000,0.69689,0.56304
0.65000,0.69202,0.56210
0.67000,0.68729,0.56117
0.69000,0.68268,0.56023
0.71000,0.67821,0.55930
0.73000,0.67385,0.55837
0.75000,0.66961,0.55744
0.77000,0.66548,0.55651
0.79000,0.66146,0.55558
0.81000,0.65754,0.55465
0.83000,0.65372,0.55373
0.85000,0.65000,0.55281
0.87000,0.64636,0.55189
0.89000,0.64282,0.55097
0.91000,0.63936,0.55005
0.93000,0.63597,0.54913
0.95000,0.63267,0.54822
0.97000,0.62945,0.54730
0.99000,0.62629,0.54639
1.01000,0.62321,0.54548
1.03000,0.62019,0.54457
1.05000,0.61724,0.54366
1.07000,0.61435,0.54276
1.09000,0.61152,0.54185
1.11000,0.60875,0.54095
1.13000,0.60604,0.54005
1.15000,0.60338,0.53915
1.17000,0.60078,0.53825
1.19000,0.59823,0.53735
1.21000,0.59572,0.53646
1.23000,0.59327,0.53556
1.25000,0.59086,0.53467
1.27000,0.58850,0.53378
1.29000,0.58617,0.53289
1.31000,0.58390,0.53200
1.33000,0.58166,0.53112
1.35000,0.57946,0.53023
1.37000,0.57730,0.52935
1.39000,0.57518,0.52847
1.41000,0.57309,0.52759
1.43000,0.57104,0.52671
1.45000,0.56903,0.52583
1.47000,0.56704,0.52495
1.49000,0.56509,0.52408
1.51000,0.56317,0.52320
1.53000,0.56128,0.52233
1.55000,0.55942,0.52146
1.57000,0.55758,0.52059
1.59000,0.55578,0.51973
1.61000,0.55400,0.51886
1.63000,0.55224,0.51800
1.65000,0.55052,0.51713
1.67000,0.54881,0.51627
1.69000,0.54713,0.51541
1.71000,0.54548,0.51455
1.73000,0.54385,0.51369
1.75000,0.54223,0.51284
1.77000,0.54064,0.51198
1.79000,0.53907,0.51113
1.81000,0.53753,0.51028
1.83000,0.53600,0.50943
1.85000,0.53449,0.50858
1.87000,0.53300,0.50773
1.89000,0.53152,0.50689
1.91000,0.53007,0.50604
1.93000,0.52863,0.50520
1.95000,0.52721,0.50436
1.97000,0.52580,0.50351
1.99000,0.52441,0.50268
2.01000,0.52304,0.50184
2.03000,0.52168,0.50100
2.05000,0.52034,0.50017
2.07000,0.51901,0.49933
2.09000,0.51770,0.49850
2.11000,0.51640,0.49767
2.13000,0.51511,0.49684
2.15000,0.51383,0.49601
2.17000,0.51257,0.49519
2.19000,0.51132,0.49436
2.21000,0.51009,0.49354
2.23000,0.50886,0.49272
2.25000,0.50765,0.49189
2.27000,0.50644,0.49107
2.29000,0.50525,0.49026
2.31000,0.50407,0.48944
2.33000,0.50290,0.48862
2.35000,0.50174,0.48781
2.37000,0.50059,0.48700
2.39000,0.49945,0.48619
2.41000,0.49832,0.48537
2.43000,0.49720,0.48457
2.45000,0.49609,0.48376
2.47000,0.49498,0.48295
2.49000,0.49389,0.48215
2.51000,0.49280,0.48134
2.53000,0.49173,0.48054
2.55000,0.49066,0.47974
2.57000,0.48959,0.47894
2.59000,0.48854,0.47814
2.61000,0.48749,0.47735
2.63000,0.48646,0.47655
2.65000,0.48542,0.47576
2.67000,0.48440,0.47496
2.69000,0.48338,0.47417
2.71000,0.48237,0.47338
2.73000,0.48137,0.47259
2.75000,0.48037,0.47181
2.77000,0.47938,0.47102
2.79000,0.47840,0.47024
2.81000,0.47742,0.46945
2.83000,0.47645,0.46867
2.85000,0.47548,0.46789
2.87000,0.47452,0.46711
2.89000,0.47357,0.46633
2.91000,0.47262,0.46555
2.93000,0.47167,0.46478
2.95000,0.47074,0.46400
2.97000,0.46980,0.46323
2.99000,0.46887,0.46246
3.01000,0.46795,0.46169
3.03000,0.46703,0.46092
3.05000,0.46612,0.46015
3.07000,0.46521,0.45938
3.09000,0.46431,0.45862
3.11000,0.46341,0.45785
3.13000,0.46252,0.45709
3.15000,0.46163,0.45633
3.17000,0.46074,0.45557
3.19000,0.45986,0.45481
3.21000,0.45898,0.45405
3.23000,0.45811,0.45329
3.25000,0.45724,0.45254
3.27000,0.45638,0.45178
3.29000,0.45552,0.45103
3.31000,0.45466,0.45028
3.33000,0.45381,0.44953
3.35000,0.45296,0.44878
3.37000,0.45211,0.44803
3.39000,0.45127,0.44729
3.41000,0.45043,0.44654
3.43000,0.44959,0.44580
3.45000,0.44876,0.44505
3.47000,0.44793,0.44431
3.49000,0.44711,0.44357
3.51000,0.44629,0.44283
3.53000,0.44547,0.44209
3.55000,0.44465,0.44136
3.57000,0.44384,0.44062
3.59000,0.44303,0.43989
3.61000,0.44222,0.43916
3.63000,0.44142,0.43842
3.65000,0.44062,0.43769
3.67000,0.43982,0.43696
3.69000,0.43903,0.43624
3.71000,0.43823,0.43551
