p,e1,e2
0.00000,,-1.01260
0.00140,-1.00000,-1.01260
0.00280,-1.00000,-1.01259
0.00420,-0.99999,-1.01259
0.00561,-0.99999,-1.01258
0.00701,-0.99998,-1.01258
0.00841,-0.99997,-1.01257
0.00981,-0.99996,-1.01256
0.01121,-0.99995,-1.01255
0.01261,-0.99993,-1.01253
0.01401,-0.99992,-1.01252
0.01542,-0.99990,-1.01250
0.01682,-0.99988,-1.01248
0.01822,-0.99986,-1.01246
0.01962,-0.99984,-1.01244
0.02102,-0.99982,-1.01241
0.02242,-0.99979,-1.01239
0.02382,-0.99976,-1.01236
0.02523,-0.99973,-1.01233
0.02663,-0.99970,-1.01230
0.02803,-0.99967,-1.01227
0.02943,-0.99964,-1.01224
0.03083,-0.99960,-1.01220
0.03223,-0.99957,-1.01216
0.03363,-0.99953,-1.01213
0.03504,-0.99949,-1.01209
0.03644,-0.99945,-1.01204
0.03784,-0.99940,-1.01200
0.03924,-0.99936,-1.01196
0.04064,-0.99931,-1.01191
0.04204,-0.99926,-1.01186
0.04344,-0.99921,-1.01181
0.04484,-0.99916,-1.01176
0.04625,-0.99911,-1.01171
0.04765,-0.99905,-1.01165
0.04905,-0.99900,-1.01160
0.05045,-0.99894,-1.01154
0.05185,-0.99888,-1.01148
0.05325,-0.99882,-1.01142
0.05465,-0.99876,-1.01135
0.05606,-0.99869,-1.01129
0.05746,-0.99862,-1.01122
0.05886,-0.99856,-1.01115
0.06026,-0.99849,-1.01108
0.06166,-0.99842,-1.01101
0.06306,-0.99834,-1.01094
0.06446,-0.99827,-1.01087
0.06587,-0.99819,-1.01079
0.06727,-0.99812,-1.01071
0.06867,-0.99804,-1.01063
0.07007,-0.99795,-1.01055
0.07147,-0.99787,-1.01047
0.07287,-0.99779,-1.01039
0.07427,-0.99770,-1.01030
0.07568,-0.99761,-1.01021
0.07708,-0.99753,-1.01012
0.07848,-0.99743,-1.01003
0.07988,-0.99734,-1.00994
0.08128,-0.99725,-1.00985
0.08268,-0.99715,-1.00975
0.08408,-0.99706,-1.00965
0.08549,-0.99696,-1.00955
0.08689,-0.99686,-1.00945
0.08829,-0.99675,-1.00935
0.08969,-0.99665,-1.00925
0.09109,-0.99654,-1.00914
0.09249,-0.99644,-1.00903
0.09389,-0.99633,-1.00892
0.09530,-0.99622,-1.00881
0.09670,-0.99611,-1.00870
0.09810,-0.99599,-1.00859
0.09950,-0.99588,-1.00847
0.10090,-0.99576,-1.00836
0.10230,-0.99564,-1.00824
0.10370,-0.99552,-1.00812
0.10511,-0.99540,-1.00799
0.10651,-0.99528,-1.00787
0.10791,-0.99515,-1.00775
0.10931,-0.99502,-1.00762
0.11071,-0.99490,-1.00749
0.11211,-0.99477,-1.00736
0.11351,-0.99463,-1.00723
0.11491,-0.99450,-1.00710
0.11632,-0.99437,-1.00696
0.11772,-0.99423,-1.00682
0.11912,-0.99409,-1.00669
0.12052,-0.99395,-1.00655
0.12192,-0.99381,-1.00640
0.12332,-0.99367,-1.00626
0.12472,-0.99352,-1.00612
0.12613,-0.99338,-1.00597
0.12753,-0.99323,-1.00582
0.12893,-0.99308,-1.00567
0.13033,-0.99293,-1.00552
0.13173,-0.99278,-1.00537
0.13313,-0.99262,-1.00521
