p,e,z,e_err,z_err
0.00100,-1.01681,0.59168,0.00002,0.00001
0.04096,-1.01614,0.59156,0.00002,0.00001
0.08092,-1.01410,0.59118,0.00001,0.00001
0.12088,-1.01074,0.59059,0.00002,0.00001
0.16084,-1.00602,0.58987,0.00002,0.00001
0.20080,-0.99998,0.58881,0.00001,0.00001
0.24076,-0.99262,0.58756,0.00001,0.00001
0.28072,-0.98394,0.58596,0.00002,0.00001
0.32068,-0.97392,0.58423,0.00002,0.00001
0.36064,-0.96262,0.58224,0.00002,0.00001
0.40060,-0.95000,0.57994,0.00002,0.00001
0.44056,-0.93614,0.57733,0.00002,0.00001
0.48052,-0.92095,0.57452,0.00002,0.00001
0.52048,-0.90453,0.57131,0.00002,0.00001
0.56044,-0.88683,0.56779,0.00002,0.00001
0.60040,-0.86789,0.56401,0.00002,0.00001
0.64036,-0.84776,0.55984,0.00002,0.00001
0.68032,-0.82644,0.55533,0.00002,0.00001
0.72028,-0.80393,0.55040,0.00002,0.00001
0.76024,-0.78028,0.54503,0.00002,0.00001
0.80020,-0.75545,0.53921,0.00002,0.00001
0.84016,-0.72960,0.53289,0.00002,0.00001
0.88012,-0.70269,0.52599,0.00002,0.00001
0.92008,-0.67474,0.51869,0.00002,0.00001
0.96004,-0.64584,0.51064,0.00002,0.00001
1.00000,-0.61601,0.50189,0.00002,0.00001
1.05000,-0.57749,0.49002,0.00002,0.00001
1.10000,-0.53775,0.47688,0.00002,0.00001
1.15000,-0.49696,0.46239,0.00002,0.00001
1.20000,-0.45522,0.44654,0.00002,0.00001
1.25000,-0.41284,0.42872,0.00002,0.00001
1.30000,-0.37009,0.40899,0.00002,0.00001
1.42500,-0.26328,0.35053,0.00002,0.00000
1.55000,-0.16174,0.27619,0.00003,0.00001
1.67500,-0.07539,0.18286,0.00003,0.00000
1.80000,-0.01844,0.07997,0.00003,0.00001
