p,e,z,e_err,z_err
0.00000,-1.01700,0.59122,0.00012,0.00004
0.02500,-1.01647,0.59132,0.00012,0.00003
0.05000,-1.01606,0.59148,0.00011,0.00004
0.07500,-1.01448,0.59158,0.00012,0.00004
0.10000,-1.01296,0.59071,0.00013,0.00005
0.12500,-1.01004,0.59047,0.00012,0.00004
0.15000,-1.00740,0.59026,0.00012,0.00003
0.17500,-1.00402,0.58880,0.00013,0.00004
0.20000,-0.99996,0.58921,0.00011,0.00004
0.22500,-0.99553,0.58796,0.00012,0.00004
0.25000,-0.99059,0.58716,0.00011,0.00004
0.27500,-0.98538,0.58593,0.00011,0.00004
0.30000,-0.97934,0.58469,0.00013,0.00004
0.32500,-0.97330,0.58395,0.00013,0.00004
0.35000,-0.96594,0.58261,0.00012,0.00004
0.37500,-0.95805,0.58168,0.00012,0.00004
0.40000,-0.95007,0.58006,0.00012,0.00004
0.42500,-0.94110,0.57861,0.00014,0.00004
0.45000,-0.93263,0.57648,0.00011,0.00004
0.47500,-0.92258,0.57535,0.00013,0.00005
0.50000,-0.91297,0.57323,0.00013,0.00004
0.52500,-0.90277,0.57075,0.00012,0.00005
0.55000,-0.89154,0.56866,0.00013,0.00004
0.57500,-0.87993,0.56617,0.00012,0.00004
0.60000,-0.86798,0.56396,0.00011,0.00004
0.62500,-0.85550,0.56142,0.00012,0.00004
0.65000,-0.84269,0.55919,0.00013,0.00005
0.67500,-0.82938,0.55604,0.00012,0.00005
0.70000,-0.81523,0.55370,0.00014,0.00004
0.72500,-0.80084,0.54986,0.00011,0.00004
0.75000,-0.78634,0.54604,0.00012,0.00004
0.77500,-0.77094,0.54306,0.00013,0.00003
0.80000,-0.75594,0.53896,0.00012,0.00003
0.82500,-0.73988,0.53512,0.00013,0.00004
0.85000,-0.72308,0.53107,0.00012,0.00004
0.87500,-0.70603,0.52740,0.00013,0.00004
0.90000,-0.68885,0.52223,0.00013,0.00004
0.92500,-0.67062,0.51821,0.00012,0.00004
0.95000,-0.65294,0.51296,0.00013,0.00004
0.97500,-0.63453,0.50779,0.00016,0.00006
1.00000,-0.61586,0.50232,0.00011,0.00003
1.02500,-0.59678,0.49625,0.00008,0.00002
1.05000,-0.57740,0.49039,0.00008,0.00002
1.07500,-0.55770,0.48383,0.00007,0.00003
1.10000,-0.53798,0.47685,0.00007,0.00003
1.12500,-0.51758,0.46982,0.00008,0.00003
1.15000,-0.49682,0.46275,0.00009,0.00003
1.17500,-0.47609,0.45439,0.00007,0.00002
1.20000,-0.45523,0.44649,0.00008,0.00002
1.22500,-0.43386,0.43819,0.00008,0.00002
1.25000,-0.41257,0.42899,0.00008,0.00002
1.27500,-0.39196,0.41868,0.00009,0.00002
1.30000,-0.37043,0.40838,0.00008,0.00002
1.32500,-0.34827,0.39929,0.00008,0.00002
1.35000,-0.32704,0.38733,0.00009,0.00002
1.37500,-0.30569,0.37550,0.00010,0.00003
1.40000,-0.28423,0.36372,0.00010,0.00002
1.42500,-0.26354,0.35051,0.00008,0.00002
1.45000,-0.24234,0.33715,0.00009,0.00002
1.47500,-0.22165,0.32241,0.00008,0.00002
1.50000,-0.20115,0.30751,0.00009,0.00002
1.52500,-0.18119,0.29274,0.00007,0.00002
1.55000,-0.16196,0.27591,0.00008,0.00002
1.57500,-0.14277,0.25945,0.00009,0.00002
1.60000,-0.12450,0.24225,0.00008,0.00002
1.62500,-0.10755,0.22165,0.00008,0.00003
1.65000,-0.09060,0.20305,0.00010,0.00013
1.67500,-0.07535,0.18320,0.00010,0.00004
1.70000,-0.06085,0.16124,0.00009,0.00007
1.72500,-0.04791,0.14126,0.00010,0.00011
1.75000,-0.03632,0.12028,0.00014,0.00017
1.77500,-0.02762,0.09290,0.00021,0.00017
1.80000,-0.01733,0.08317,0.00020,0.00012
1.82500,-0.01150,0.06472,0.00026,0.00010
1.85000,-0.00469,0.05371,0.00042,0.00013
1.87500,-0.00848,0.02957,0.00237,0.00029
1.90000,0.00033,0.03231,0.00050,0.00006
