p,e1,e2
0.00000,,-3.11338
0.00140,-3.00000,-3.11338
0.00280,-3.00000,-3.11338
0.00420,-3.00000,-3.11338
0.00561,-2.99999,-3.11337
0.00701,-2.99999,-3.11337
0.00841,-2.99998,-3.11336
0.00981,-2.99998,-3.11336
0.01121,-2.99997,-3.11335
0.01261,-2.99996,-3.11334
0.01401,-2.99995,-3.11333
0.01542,-2.99994,-3.11332
0.01682,-2.99993,-3.11331
0.01822,-2.99992,-3.11330
0.01962,-2.99990,-3.11328
0.02102,-2.99989,-3.11327
0.02242,-2.99987,-3.11325
0.02382,-2.99986,-3.11324
0.02523,-2.99984,-3.11322
0.02663,-2.99982,-3.11320
0.02803,-2.99980,-3.11318
0.02943,-2.99978,-3.11316
0.03083,-2.99976,-3.11314
0.03223,-2.99974,-3.11312
0.03363,-2.99972,-3.11310
0.03504,-2.99969,-3.11307
0.03644,-2.99967,-3.11305
0.03784,-2.99964,-3.11302
0.03924,-2.99962,-3.11300
0.04064,-2.99959,-3.11297
0.04204,-2.99956,-3.11294
0.04344,-2.99953,-3.11291
0.04484,-2.99950,-3.11288
0.04625,-2.99947,-3.11285
0.04765,-2.99943,-3.11281
0.04905,-2.99940,-3.11278
0.05045,-2.99936,-3.11274
0.05185,-2.99933,-3.11271
0.05325,-2.99929,-3.11267
0.05465,-2.99925,-3.11263
0.05606,-2.99921,-3.11259
0.05746,-2.99918,-3.11255
0.05886,-2.99913,-3.11251
0.06026,-2.99909,-3.11247
0.06166,-2.99905,-3.11243
0.06306,-2.99901,-3.11239
0.06446,-2.99896,-3.11234
0.06587,-2.99892,-3.11230
0.06727,-2.99887,-3.11225
0.06867,-2.99882,-3.11220
0.07007,-2.99877,-3.11215
0.07147,-2.99872,-3.11210
0.07287,-2.99867,-3.11205
0.07427,-2.99862,-3.11200
0.07568,-2.99857,-3.11195
0.07708,-2.99852,-3.11190
0.07848,-2.99846,-3.11184
0.07988,-2.99841,-3.11179
0.08128,-2.99835,-3.11173
0.08268,-2.99829,-3.11167
0.08408,-2.99824,-3.11161
0.08549,-2.99818,-3.11155
0.08689,-2.99812,-3.11149
0.08829,-2.99805,-3.11143
0.08969,-2.99799,-3.11137
0.09109,-2.99793,-3.11131
0.09249,-2.99787,-3.11124
0.09389,-2.99780,-3.11118
0.09530,-2.99773,-3.11111
0.09670,-2.99767,-3.11104
0.09810,-2.99760,-3.11097
0.09950,-2.99753,-3.11091
0.10090,-2.99746,-3.11083
0.10230,-2.99739,-3.11076
0.10370,-2.99732,-3.11069
0.10511,-2.99725,-3.11062
0.10651,-2.99717,-3.11054
0.10791,-2.99710,-3.11047
0.10931,-2.99702,-3.11039
0.11071,-2.99694,-3.11032
0.11211,-2.99687,-3.11024
0.11351,-2.99679,-3.11016
0.11491,-2.99671,-3.11008
0.11632,-2.99663,-3.11000
0.11772,-2.99655,-3.10992
0.11912,-2.99646,-3.10983
0.12052,-2.99638,-3.10975
0.12192,-2.99630,-3.10966
0.12332,-2.99621,-3.10958
0.12472,-2.99612,-3.10949
0.12613,-2.99604,-3.10940
0.12753,-2.99595,-3.10931
0.12893,-2.99586,-3.10922
0.13033,-2.99577,-3.10913
0.13173,-2.99568,-3.10904
0.13313,-2.99559,-3.10895
0.13453,-2.99549,-3.10886
0.13594,-2.99540,-3.10876
0.13734,-2.99530,-3.10866
0.13874,-2.99521,-3.10857
0.14014,-2.99511,-3.10847
0.14154,-2.99501,-3.10837
0.14294,-2.99492,-3.10827
0.14434,-2.99482,-3.10817
0.14575,-2.99472,-3.10807
0.14715,-2.99461,-3.10797
0.14855,-2.99451,-3.10786
0.14995,-2.99441,-3.10776
0.15135,-2.99430,-3.10765
0.15275,-2.99420,-3.10755
0.15415,-2.99409,-3.10744
0.15556,-2.99398,-3.10733
0.15696,-2.99388,-3.10722
0.15836,-2.99377,-3.10711
0.15976,-2.99366,-3.10700
0.16116,-2.99355,-3.10689
0.16256,-2.99343,-3.10677
0.16396,-2.99332,-3.10666
0.16537,-2.99321,-3.10654
0.16677,-2.99309,-3.10643
0.16817,-2.99298,-3.10631
0.16957,-2.99286,-3.10619
0.17097,-2.99274,-3.10607
0.17237,-2.99262,-3.10595
0.17377,-2.99250,-3.10583
0.17518,-2.99238,-3.10571
0.17658,-2.99226,-3.10559
0.17798,-2.99214,-3.10546
0.17938,-2.99201,-3.10534
0.18078,-2.99189,-3.10521
0.18218,-2.99176,-3.10508
0.18358,-2.99164,-3.10495
0.18498,-2.99151,-3.10483
0.18639,-2.99138,-3.10470
