p,e,z,e_err,z_err
0.00000,-3.18212,0.15830,0.00176,0.00011
0.10000,-3.17075,0.16908,0.00187,0.00010
0.20000,-3.16081,0.17177,0.00187,0.00009
0.30000,-3.14725,0.16252,0.00178,0.00008
0.40000,-3.12570,0.16664,0.00170,0.00007
0.50000,-3.10207,0.15807,0.00192,0.00008
0.60000,-3.07750,0.15468,0.00203,0.00008
0.70000,-3.04677,0.14340,0.00192,0.00007
0.80000,-3.00941,0.13838,0.00189,0.00007
0.90000,-2.97180,0.12644,0.00224,0.00008
1.00000,-2.92606,0.12095,0.00218,0.00007
1.10000,-2.88010,0.11189,0.00221,0.00007
1.20000,-2.83800,0.10058,0.00241,0.00006
1.30000,-2.78270,0.08745,0.00230,0.00006
1.40000,-2.74112,0.07889,0.00249,0.00006
1.50000,-2.69005,0.07104,0.00262,0.00007
1.60000,-2.63661,0.05804,0.00259,0.00010
1.70000,-2.58184,0.05562,0.00294,0.00008
1.80000,-2.53756,0.04593,0.00301,0.00009
1.90000,-2.47318,0.04893,0.00289,0.00007
2.00000,-2.42619,0.04206,0.00285,0.00006
2.10000,-2.37699,0.03726,0.00372,0.00008
2.20000,-2.36032,0.02528,0.00765,0.00013
2.30000,-2.31190,0.02511,0.00663,0.00011
2.40000,-2.23994,0.02779,0.00584,0.00008
2.50000,-2.18886,0.02581,0.00685,0.00007
2.60000,-2.16941,0.02121,0.00830,0.00008
2.70000,-2.14935,0.01741,0.00973,0.00007
2.80000,-2.18213,0.00930,0.02536,0.00009
2.90000,-2.17111,0.00716,0.04051,0.00010
3.00000,-2.14323,0.00702,0.01759,0.00004
