tau                          G0_t                          S_higher_t                    G_w                           G_t                           
0.0075                        0.991784                      -0.000822173                  2.439845+0.000000j            -0.991786                     
0.0225                        0.975554                      0.000678216                   0.619465-1.026517j            -0.97691                      
0.0375                        0.959589                      0.000529782                   0.218712-0.637264j            -0.963353                     
0.0525                        0.943886                      -0.00027735                   0.118772-0.453229j            -0.950673                     
0.0675                        0.92844                       0.00017888                    0.077725-0.352677j            -0.9387                       
0.0825                        0.913246                      -0.00210793                   0.055849-0.289450j            -0.927327                     
0.0975                        0.898301                      0.00163308                    0.042402-0.245823j            -0.91648                      
0.1125                        0.883601                      0.000976186                   0.033402-0.213781j            -0.906102                     
0.1275                        0.869141                      -0.00201473                   0.027031-0.189187j            -0.896149                     
0.1425                        0.854918                      0.00190474                    0.022338-0.169685j            -0.88658                      
0.1575                        0.840927                      -0.00146671                   0.018775-0.153828j            -0.877366                     
0.1725                        0.827166                      -0.000956166                  0.016002-0.140677j            -0.868478                     
0.1875                        0.81363                       5.07085e-05                   0.013802-0.129590j            -0.859892                     
0.2025                        0.800315                      0.000902268                   0.012026-0.120116j            -0.851586                     
0.2175                        0.787218                      0.000273727                   0.010572-0.111926j            -0.843543                     
0.2325                        0.774336                      0.000685159                   0.009367-0.104776j            -0.835744                     
0.2475                        0.761664                      0.00046891                    0.008357-0.098480j            -0.828175                     
0.2625                        0.749199                      0.000330084                   0.007502-0.092894j            -0.820822                     
0.2775                        0.736939                      -0.000810463                  0.006771-0.087904j            -0.813672                     
0.2925                        0.724879                      -0.000298378                  0.006143-0.083420j            -0.806712                     
0.3075                        0.713017                      -0.000425153                  0.005598-0.079369j            -0.799933                     
0.3225                        0.701349                      0.000358759                   0.005122-0.075692j            -0.793325                     
0.3375                        0.689871                      0.000262283                   0.004705-0.072339j            -0.786878                     
0.3525                        0.678582                      0.000847013                   0.004336-0.069268j            -0.780584                     
0.3675                        0.667477                      -0.000163645                  0.004010-0.066447j            -0.774436                     
0.3825                        0.656554                      -0.000472494                  0.003718-0.063845j            -0.768426                     
0.3975                        0.64581                       -6.72703e-05                  0.003458-0.061438j            -0.762547                     
0.4125                        0.635242                      0.000981847                   0.003224-0.059206j            -0.756793                     
0.4275                        0.624846                      -0.000368905                  0.003013-0.057130j            -0.751158                     
0.4425                        0.614621                      0.00027257                    0.002822-0.055193j            -0.745637                     
0.4575                        0.604563                      0.000617416                   0.002649-0.053384j            -0.740224                     
0.4725                        0.594669                      0.000632514                   0.002491-0.051688j            -0.734914                     
0.4875                        0.584938                      9.20659e-05                   0.002347-0.050097j            -0.729704                     
0.5025                        0.575365                      0.000398412                   0.002215-0.048600j            -0.724588                     
0.5175                        0.56595                       0.000122314                   0.002094-0.047190j            -0.719564                     
0.5325                        0.556688                      -3.09188e-06                  0.001983-0.045860j            -0.714625                     
0.5475                        0.547578                      -0.000113749                  0.001880-0.044602j            -0.709771                     
0.5625                        0.538617                      -0.000252705                  0.001785-0.043411j            -0.704995                     
0.5775                        0.529803                      0.000453776                   0.001697-0.042282j            -0.700297                     
0.5925                        0.521133                      -0.000140262                  0.001616-0.041209j            -0.695672                     
0.6075                        0.512605                      -0.000110871                  0.001540-0.040190j            -0.691118                     
0.6225                        0.504216                      -4.05195e-05                  0.001470-0.039220j            -0.686632                     
0.6375                        0.495965                      9.17913e-05                   0.001404-0.038295j            -0.682212                     
0.6525                        0.487849                      0.000268836                   0.001342-0.037413j            -0.677855                     
0.6675                        0.479865                      -9.4927e-05                   0.001285-0.036571j            -0.673559                     
